id,title,overview,release_date,runtime,genres,production_companies,budget,revenue,popularity,vote_average,vote_count,status,poster_path,backdrop_path
299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25,149,"Adventure, Action, Science Fiction",Marvel Studios,300000000,2052415039,342.224,8.2,29791,Released,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,https://image.tmdb.org/t/p/w500/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg
580489,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021-09-30,97,"Science Fiction, Action, Adventure","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Arad Productions",110000000,506863592,341.095,6.8,10268,Released,https://image.tmdb.org/t/p/w500/1MJNcPZy46hIy2CmSqOeru0yr5C.jpg,https://image.tmdb.org/t/p/w500/vIgyYkXkg6NC2whRbYjBD7eb3Er.jpg
857598,Pushpa 2 - The Rule,"Pushpa struggles to sustain his sandalwood smuggling business in the face of tough opposition from the police, led by Shekhawat.",2024-12-04,198,"Crime, Action, Thriller","Mythri Movie Makers, Sukumar Writings",63000000,99000000,341.047,6.6,12,Released,https://image.tmdb.org/t/p/w500/V4aykdOsre8Ev9miiGbcbAqfhe.jpg,https://image.tmdb.org/t/p/w500/keC82cQ8q0ZHthrbvzWq04kGnbv.jpg
972614,Knox Goes Away,"A contract killer, after being diagnosed with a fast-moving form of dementia, is presented with the opportunity to redeem himself by saving the life of his estranged adult son. But to do so, he must race against the police closing in on him as well as the ticking clock of his own rapidly deteriorating mind.",2024-03-15,114,"Crime, Thriller, Action","Brookstreet Pictures, TPC, Sugar23, FilmNation Entertainment",0,0,340.279,6.9,274,Released,https://image.tmdb.org/t/p/w500/w39qKYjltCix18BwtoZ1e45usdb.jpg,https://image.tmdb.org/t/p/w500/2NPhBHfzhEmXl8csQ2dKmoxfj5e.jpg
1296753,Remnant,"Grace is a young woman whose life has been turned upside down by tragedy. When she returns home to the family farm to rebuild her shattered life, her world begins to unravel as a series of strange events haunt her, pushing Grace to the edge of madness. A mysterious figure lurks in the shadows and a ghostly woman appears in the darkness of night. Is Grace imagining these apparitions, or are they a warning of a nightmare still to come?",2024-06-30,112,"Science Fiction, Horror, Thriller","Cyfuno Ventures, Outlaw Films",0,0,339.275,3.3,3,Released,https://image.tmdb.org/t/p/w500/nsdnZqEVBhlNoBFy7iGBbtS9sbp.jpg,https://image.tmdb.org/t/p/w500/25PLE3shXYs1GTdjUNnmu8ppnl8.jpg
1208808,The Haunting Of The Immaculate Nurse,"A young nurse with a past of family violence starts working the night shift at a small hospital, where during the night a ghost nurse materializes.",2024-10-31,107,Horror,"Sony Pictures International Productions, EFICINE 189",0,0,335.286,4.3,3,Released,https://image.tmdb.org/t/p/w500/qFPSQLIb922GT0pRsesu3sEwN91.jpg,https://image.tmdb.org/t/p/w500/1GvpaPWb5pjXE8FOCYpzLJSeAoK.jpg
354912,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017-10-27,105,"Family, Animation, Music, Adventure","Pixar, Walt Disney Pictures",175000000,807816196,324.72,8.2,19514,Released,https://image.tmdb.org/t/p/w500/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,https://image.tmdb.org/t/p/w500/askg3SMvhqEl4OL52YuvdtY40Yb.jpg
978796,Bagman,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",2024-09-20,92,"Horror, Thriller","Lionsgate, Temple Hill Entertainment, Media Capital Technologies",14500000,0,322.713,6.2,107,Released,https://image.tmdb.org/t/p/w500/hzrvol8K2VWm2BsDTwb8YvRMzIH.jpg,https://image.tmdb.org/t/p/w500/qQ8hhbi36CmFwQSi9vEqu06yJX0.jpg
957452,The Crow,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",2024-08-21,111,"Action, Fantasy, Horror","Davis Films, Pressman Film, Hassell Free Production, The Electric Shadow Company, 30WEST, Ashland Hill Media Finance, FilmNation Entertainment, Maze Pictures, Occupant Entertainment",50000000,24008667,322.177,5.9,794,Released,https://image.tmdb.org/t/p/w500/58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg,https://image.tmdb.org/t/p/w500/Asg2UUwipAdE87MxtJy7SQo08XI.jpg
939243,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2024-12-19,110,"Adventure, Comedy, Family, Science Fiction, Action","Paramount Pictures, Original Film, Marza Animation Planet, SEGA, Blur Studio",0,1377009,320.969,0.0,0,Post Production,https://image.tmdb.org/t/p/w500/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,https://image.tmdb.org/t/p/w500/18iGjkavP8KLfyU3Ifkp9s2bSvD.jpg
